decalage	unique	phase	marge	rx_avant	daram_len	vraies	crc_ok	sb_tentees	fb_acceptees
-3	0	0.4	10	0	296	0	0	66	67
-3	0	0.4	10	0	380	0	0	66	67
-3	0	0.4	10	1	296	0	2	57	61
-3	0	0.4	10	1	380	0	2	57	61
-3	0	0.4	21	0	296	0	3	65	67
-3	0	0.4	21	0	380	0	3	65	67
-3	0	0.4	21	1	296	0	1	57	59
-3	0	0.4	21	1	380	0	1	57	59
-3	0	0.4	30	0	296	0	3	62	67
-3	0	0.4	30	0	380	0	3	62	67
-3	0	0.4	30	1	296	0	6	54	61
-3	0	0.4	30	1	380	0	6	54	61
-3	0	0.4	41	0	296	0	4	61	67
-3	0	0.4	41	0	380	0	4	61	67
-3	0	0.4	41	1	296	0	1	57	59
-3	0	0.4	41	1	380	0	1	57	59
-3	0	0.5	0	0	296	0	4	64	72
-3	0	0.5	0	0	380	0	4	64	72
-3	0	0.5	0	1	296	0	1	58	61
-3	0	0.5	0	1	380	0	1	58	61
-3	0	0.5	10	0	296	0	2	64	67
-3	0	0.5	10	0	380	0	2	64	67
-3	0	0.5	10	1	296	0	3	56	60
-3	0	0.5	10	1	380	0	3	56	60
-3	0	0.5	21	0	296	0	1	66	69
-3	0	0.5	21	0	380	0	1	66	69
-3	0	0.5	21	1	296	0	1	58	59
-3	0	0.5	21	1	380	0	1	58	59
-3	0	0.5	30	0	296	0	0	64	65
-3	0	0.5	30	0	380	0	0	64	65
-3	0	0.5	30	1	296	0	1	56	60
-3	0	0.5	30	1	380	0	1	56	60
-3	0	0.5	41	0	296	0	5	61	68
-3	0	0.5	41	0	380	0	5	61	68
-3	0	0.5	41	1	296	0	0	58	58
-3	0	0.5	41	1	380	0	0	58	58
-3	0	0.6	0	0	296	0	3	65	69
-3	0	0.6	0	0	380	0	3	65	69
-3	0	0.6	0	1	296	0	0	58	59
-3	0	0.6	0	1	380	0	0	58	59
-3	0	0.6	10	0	296	0	4	63	67
-3	0	0.6	10	0	380	0	4	63	67
-3	0	0.6	10	1	296	0	3	56	62
-3	0	0.6	10	1	380	0	3	56	62
-3	0	0.6	21	0	296	0	1	64	68
-3	0	0.6	21	0	380	0	1	64	68
-3	0	0.6	21	1	296	0	1	57	59
-3	0	0.6	21	1	380	0	1	57	59
-3	0	0.6	30	0	296	0	4	65	70
-3	0	0.6	30	0	380	0	4	65	70
-3	0	0.6	30	1	296	0	0	58	59
-3	0	0.6	30	1	380	0	0	58	59
-3	0	0.6	41	0	296	0	2	63	66
-3	0	0.6	41	0	380	0	2	63	66
-3	0	0.6	41	1	296	0	1	57	60
-3	0	0.6	41	1	380	0	1	57	60
-3	0	0.7	0	0	296	0	3	66	70
-3	0	0.7	0	0	380	0	3	66	70
-3	0	0.7	0	1	296	0	1	58	61
-3	0	0.7	0	1	380	0	1	58	61
-3	0	0.7	10	0	296	0	6	63	70
-3	0	0.7	10	0	380	0	6	63	70
-3	0	0.7	10	1	296	0	1	57	61
-3	0	0.7	10	1	380	0	1	57	61
-3	0	0.7	21	0	296	0	2	68	70
-3	0	0.7	21	0	380	0	2	68	70
-3	0	0.7	21	1	296	0	1	57	61
-3	0	0.7	21	1	380	0	1	57	61
-3	0	0.7	30	0	296	0	0	66	69
-3	0	0.7	30	0	380	0	0	66	69
-3	0	0.7	30	1	296	0	0	58	61
-3	0	0.7	30	1	380	0	0	58	61
-3	0	0.7	41	0	296	0	3	67	70
-3	0	0.7	41	0	380	0	3	67	70
-3	0	0.7	41	1	296	0	1	57	60
-3	0	0.7	41	1	380	0	1	57	60
-3	0	0.8	0	0	296	0	6	65	69
-3	0	0.8	0	0	380	0	6	65	69
-3	0	0.8	0	1	296	0	1	58	58
-3	0	0.8	0	1	380	0	1	58	58
-3	0	0.8	10	0	296	0	1	60	62
-3	0	0.8	10	0	380	0	1	60	62
-3	0	0.8	10	1	296	0	2	56	60
-3	0	0.8	10	1	380	0	2	56	60
-3	0	0.8	21	0	296	0	3	62	67
-3	0	0.8	21	0	380	0	3	62	67
-3	0	0.8	21	1	296	0	2	58	59
-3	0	0.8	21	1	380	0	2	58	59
-3	0	0.8	30	0	296	0	2	61	64
-3	0	0.8	30	0	380	0	2	61	64
-3	0	0.8	30	1	296	0	1	58	59
-3	0	0.8	30	1	380	0	1	58	59
-3	0	0.8	41	0	296	0	2	61	66
-3	0	0.8	41	0	380	0	2	61	66
-3	0	0.8	41	1	296	0	2	57	61
-3	0	0.8	41	1	380	0	2	57	61
-3	0	0.9	0	0	296	0	1	62	63
-3	0	0.9	0	0	380	0	1	62	63
-3	0	0.9	0	1	296	0	2	58	59
-3	0	0.9	0	1	380	0	2	58	59
-3	0	0.9	10	0	296	0	1	63	66
-3	0	0.9	10	0	380	0	1	63	66
-3	0	0.9	10	1	296	0	1	57	59
-3	0	0.9	10	1	380	0	1	57	59
-3	0	0.9	21	0	296	0	6	60	67
-3	0	0.9	21	0	380	0	6	60	67
-3	0	0.9	21	1	296	0	2	58	59
-3	0	0.9	21	1	380	0	2	58	59
-3	0	0.9	30	0	296	0	3	60	65
-3	0	0.9	30	0	380	0	3	60	65
-3	0	0.9	30	1	296	0	0	58	60
-3	0	0.9	30	1	380	0	0	58	60
-3	0	0.9	41	0	296	0	4	64	68
-3	0	0.9	41	0	380	0	4	64	68
-3	0	0.9	41	1	296	0	1	57	59
-3	0	0.9	41	1	380	0	1	57	59
-3	1	0.0	0	0	296	0	1	37	78
-3	1	0.0	0	0	380	0	1	37	78
-3	1	0.0	0	1	296	0	1	29	60
-3	1	0.0	0	1	380	0	1	29	60
-3	1	0.0	10	0	296	0	2	37	75
-3	1	0.0	10	0	380	0	2	37	75
-3	1	0.0	10	1	296	0	1	29	61
-3	1	0.0	10	1	380	0	1	29	61
-3	1	0.0	21	0	296	0	2	37	77
-3	1	0.0	21	0	380	0	2	37	77
-3	1	0.0	21	1	296	0	1	29	59
-3	1	0.0	21	1	380	0	1	29	59
-3	1	0.0	30	0	296	0	1	36	74
-3	1	0.0	30	0	380	0	1	36	74
-3	1	0.0	30	1	296	0	1	29	60
-3	1	0.0	30	1	380	0	1	29	60
-3	1	0.0	41	0	296	0	2	36	74
-3	1	0.0	41	0	380	0	2	36	74
-3	1	0.0	41	1	296	0	1	29	61
-3	1	0.0	41	1	380	0	1	29	61
-3	1	0.1	0	0	296	0	1	36	75
-3	1	0.1	0	0	380	0	1	36	75
-3	1	0.1	0	1	296	0	1	29	61
-3	1	0.1	0	1	380	0	1	29	61
-3	1	0.1	10	0	296	0	1	37	76
-3	1	0.1	10	0	380	0	1	37	76
-3	1	0.1	10	1	296	0	2	29	60
-3	1	0.1	10	1	380	0	2	29	60
-3	1	0.1	21	0	296	0	4	37	75
-3	1	0.1	21	0	380	0	4	37	75
-3	1	0.1	21	1	296	0	1	29	61
-3	1	0.1	21	1	380	0	1	29	61
-3	1	0.1	30	0	296	0	1	38	79
-3	1	0.1	30	0	380	0	1	38	79
-3	1	0.1	30	1	296	0	1	29	59
-3	1	0.1	30	1	380	0	1	29	59
-3	1	0.1	41	0	296	0	3	37	76
-3	1	0.1	41	0	380	0	3	37	76
-3	1	0.1	41	1	296	0	1	29	60
-3	1	0.1	41	1	380	0	1	29	60
-3	1	0.2	0	0	296	0	1	37	77
-3	1	0.2	0	0	380	0	1	37	77
-3	1	0.2	0	1	296	0	1	30	62
-3	1	0.2	0	1	380	0	1	30	62
-3	1	0.2	10	0	296	0	1	36	73
-3	1	0.2	10	0	380	0	1	36	73
-3	1	0.2	10	1	296	0	2	30	62
-3	1	0.2	10	1	380	0	2	30	62
-3	1	0.2	21	0	296	0	2	36	73
-3	1	0.2	21	0	380	0	2	36	73
-3	1	0.2	21	1	296	0	1	29	62
-3	1	0.2	21	1	380	0	1	29	62
-3	1	0.2	30	0	296	0	3	36	75
-3	1	0.2	30	0	380	0	3	36	75
-3	1	0.2	30	1	296	0	2	30	64
-3	1	0.2	30	1	380	0	2	30	64
-3	1	0.2	41	0	296	0	1	36	74
-3	1	0.2	41	0	380	0	1	36	74
-3	1	0.2	41	1	296	0	1	29	60
-3	1	0.2	41	1	380	0	1	29	60
-3	1	0.3	0	0	296	0	1	37	76
-3	1	0.3	0	0	380	0	1	37	76
-3	1	0.3	0	1	296	0	2	29	61
-3	1	0.3	0	1	380	0	2	29	61
-3	1	0.3	10	0	296	0	2	36	77
-3	1	0.3	10	0	380	0	2	36	77
-3	1	0.3	10	1	296	0	1	29	59
-3	1	0.3	10	1	380	0	1	29	59
-3	1	0.3	21	0	296	0	1	37	77
-3	1	0.3	21	0	380	0	1	37	77
-3	1	0.3	21	1	296	0	3	29	60
-3	1	0.3	21	1	380	0	3	29	60
-3	1	0.3	30	0	296	0	2	38	77
-3	1	0.3	30	0	380	0	2	38	77
-3	1	0.3	30	1	296	0	2	29	60
-3	1	0.3	30	1	380	0	2	29	60
-3	1	0.3	41	0	296	0	2	38	79
-3	1	0.3	41	0	380	0	2	38	79
-3	1	0.3	41	1	296	0	2	29	60
-3	1	0.3	41	1	380	0	2	29	60
-3	1	0.4	0	0	296	0	1	37	76
-3	1	0.4	0	0	380	0	1	37	76
-3	1	0.4	0	1	296	0	1	29	61
-3	1	0.4	0	1	380	0	1	29	61
-3	1	0.4	10	0	296	0	2	35	72
-3	1	0.4	10	0	380	0	2	35	72
-3	1	0.4	10	1	296	0	1	29	60
-3	1	0.4	10	1	380	0	1	29	60
-3	1	0.4	21	0	296	0	2	37	76
-3	1	0.4	21	0	380	0	2	37	76
-3	1	0.4	21	1	296	0	3	30	63
-3	1	0.4	21	1	380	0	3	30	63
-3	1	0.4	30	0	296	0	1	37	78
-3	1	0.4	30	0	380	0	1	37	78
-3	1	0.4	30	1	296	0	1	29	59
-3	1	0.4	30	1	380	0	1	29	59
-3	1	0.4	41	0	296	0	2	37	75
-3	1	0.4	41	0	380	0	2	37	75
