iB_index,burst_B,pos_j,source_coded_k,lane_G
317,2,89,422,0
318,2,90,258,0
319,2,91,30,0
320,2,92,322,0
321,2,93,94,0
322,2,94,386,0
323,2,95,158,0
324,2,96,450,0
325,2,97,222,0
326,2,98,58,0
327,2,99,286,0
328,2,100,122,0
329,2,101,350,0
330,2,102,186,0
331,2,103,414,0
332,2,104,250,0
333,2,105,22,0
334,2,106,314,0
335,2,107,86,0
336,2,108,378,0
337,2,109,150,0
338,2,110,442,0
339,2,111,214,0
340,2,112,50,0
341,2,113,278,0
342,3,0,171,1
343,3,1,399,1
344,3,2,235,1
345,3,3,7,1
346,3,4,299,1
347,3,5,71,1
348,3,6,363,1
349,3,7,135,1
350,3,8,427,1
351,3,9,199,1
352,3,10,35,1
353,3,11,263,1
354,3,12,99,1
355,3,13,327,1
356,3,14,163,1
357,3,15,391,1
358,3,16,227,1
359,3,17,455,1
360,3,18,291,1
361,3,19,63,1
362,3,20,355,1
363,3,21,127,1
364,3,22,419,1
365,3,23,191,1
366,3,24,27,1
367,3,25,255,1
368,3,26,91,1
369,3,27,319,1
370,3,28,155,1
371,3,29,383,1
372,3,30,219,1
373,3,31,447,1
374,3,32,283,1
375,3,33,55,1
376,3,34,347,1
377,3,35,119,1
378,3,36,411,1
379,3,37,183,1
380,3,38,19,1
381,3,39,247,1
382,3,40,83,1
383,3,41,311,1
384,3,42,147,1
385,3,43,375,1
386,3,44,211,1
387,3,45,439,1
388,3,46,275,1
389,3,47,47,1
390,3,48,339,1
391,3,49,111,1
392,3,50,403,1
393,3,51,175,1
394,3,52,11,1
395,3,53,239,1
396,3,54,75,1
397,3,55,303,1
398,3,56,139,1
399,3,57,367,1
400,3,58,203,1
401,3,59,431,1
402,3,60,267,1
403,3,61,39,1
404,3,62,331,1
405,3,63,103,1
406,3,64,395,1
407,3,65,167,1
408,3,66,3,1
409,3,67,231,1
410,3,68,67,1
411,3,69,295,1
412,3,70,131,1
413,3,71,359,1
414,3,72,195,1
415,3,73,423,1
416,3,74,259,1
417,3,75,31,1
418,3,76,323,1
419,3,77,95,1
420,3,78,387,1
421,3,79,159,1
422,3,80,451,1
423,3,81,223,1
424,3,82,59,1
425,3,83,287,1
426,3,84,123,1
427,3,85,351,1
428,3,86,187,1
429,3,87,415,1
430,3,88,251,1
431,3,89,23,1
432,3,90,315,1
433,3,91,87,1
434,3,92,379,1
435,3,93,151,1
436,3,94,443,1
437,3,95,215,1
438,3,96,51,1
439,3,97,279,1
440,3,98,115,1
441,3,99,343,1
442,3,100,179,1
443,3,101,407,1
444,3,102,243,1
445,3,103,15,1
446,3,104,307,1
447,3,105,79,1
448,3,106,371,1
449,3,107,143,1
450,3,108,435,1
451,3,109,207,1
452,3,110,43,1
453,3,111,271,1
454,3,112,107,1
455,3,113,335,1
